,Enforcement logs - 2016,,,,,,,,,,,
,Date,,Officer,Agency,,,Method of Request,Services Provided,,,,
Number,Month,Day,,,,,,FR,,Photo Array,Other,
,,,,Agency,Office/Location/Similar,Local-State-Federal,,# of Requests,# of Matches,,,Notes
1,January,4,Dana Fiandaca,H.S.I,,Federal,E-mail,2,0,0,,
2,January,4,Sgt. Cunningham,Wellesley PD,,Local,E-mail,1,0,,,
3,January,5,Edward Galeivan,Ipswich PD,,Local,E-mail,2,1,0,,
4,January,7,Matthew Gutwill,D.O.J,,Federal,E-mail,1,0,,,
5,January,7,Sgt. Rafferty,H.S.I,I.C.E,Federal,E-mail,1,0,,upload image,
6,January,8,Matthew Gutwill,D.O.J,,Federal,E-mail and Phone,3,1,,,
7,January,11,Kenneth Autio,Boston PD,C6,Local,E-mail and Fax,,,X,,
8,January,11,TFO David Spirito,D.E.A,Boston Strike,Federal,E-mail,1,0,,,
9,January,11,Michael O'Shaughnessy,D.E.A,Boston,Federal,E-mail,2,0,,,
10,January,11,David Spirito,D.E.A,Boston Strike,Federal,E-mail,1,0,,,
11,January,13,Det. S. Carbonier,Boston PD,,Local,Fax,,,X,,
12,January,14,SA Michael Flynn,Dept. of State,,Federal,E-mail,1,0,,,
13,January,19,TFO David Spirito,D.E.A,Boston Group 3,Federal,E-mail,2,0,,,
14,January,21,Don Johnson,Boston PD,,Local,Walk-in,,,X,,
15,January,21,Jeff Commander,D.E.A,Special Agent,Federal,E-mail,3,0,,,
16,January,25,Dana Fiandaca,H.S.I,,Federal,E-mail,1,0,,,
17,January,26,Sue Ragucci,H.S.I,,Federal,E-mail,2,0,,,
18,January,26,Sgt. John McNeil,M.S.P,,State,E-mail,1,0,,,
19,January,28,Phil Martinez,M.S.P,Worcester,State,E-mail,3,0,,,
20,February,1,Kenneth Autio,Boston PD,,Local,E-mail,,,X,,
21,February,3,Tpr. Stephen Kavoi,M.S.P,Government Center,State,Walk-in,2,0,,,
22,February,3,Tpr. Dana Atkinson,M.S.P,Salvage Title,State,Phone,1,0,,,
23,February,3,Paul Covino,Medford PD,,Local,E-mail,1,0,,,
24,February,10,Martin Conley,M.S.P,,State,E-mail,,,,Image CORI requested,
25,February,16,Michael O'Shaughnessy,D.E.A,,Federal,None,2,0,,,
26,February,17,Paul Donnelly,D.E.A,D.O.J,Federal,E-mail,1,0,,,
27,February,19,Dixie,R.M.V,,State,Walk-in,1,0,,,
28,February,22,Jason Sutherland,D.E.A,D.O.J,Federal,E-mail,2,0,,,
29,February,22,Chris Carrol,Boston PD,,Local,Walk-in,,,X,,
30,February,22,ADA Robert Arcangeli,Suffolk County DA Office / Chelsea District Court,,Combined Agencies,E-mail,1,1,,,
31,February,23,TPR Michael Lynch,M.S.P,,State,Fax,,,X,,
32,February,23,Det. Mark Lewis,Watertown PD,,Local,E-mail,1,0,,,
33,February,25,TFO David Spirito,D.E.A,,Federal,E-mail,1,0,,,
,March,LOST LOG,,,,,,,,,,
34,April,1,Ryan Gallagher,R.M.V - M.S.P,,State,None,1,0,,,
35,April,5,TFO David Spirito,D.E.A,,Federal,E-mail,2,0,,,
36,April,5,Det. Jau Ball,Framingham PD,,Local,E-mail,1,0,,,
37,April,6,Kristin Koch,F.B.I,Boston Crime Task,Federal,E-mail,1,0,,,
38,April,6,Dana Fiandaca,H.S.I,,Federal,E-mail,1,0,,,
39,April,6,Michael Pedersen,M.S.P,,State,E-mail,1,0,,,
40,April,8,Officer Anthony Barbour,Raynham PD,,Local,E-mail,1,0,,,
41,April,26,David Spirito,D.E.A,Boston,Federal,E-mail,1,0,,,
42,April,27,Tpr. Rego,M.S.P,HCE,State,E-mail and Phone,3,0,,,
43,April,29,Kevin Williams,E.R.O,H.S.I/I.C.E,Federal,E-mail,1,0,,,
44,May,2,Scolt Mendes,Seabrook PD,,Local,E-mail,2,0,,,
45,May,2,Paul Donnelly,Weymouth PD,,Local,E-mail,1,1,,,
46,May,3,AGO Eugene Griffin,Mass. Atty. General/M.S.P,,State,E-mail,1,1,,,
47,May,10,Lt. Martin Conley,M.S.P,,State,E-mail,1,1,,,
48,May,11,Inspector Brian ,Arlington PD,,Local,E-mail,1,1,,,
49,May,17,Lt. Martin Conley,M.S.P,Gang Unit,State,E-mail,1,0,,,
50,May,17,Robert Webb,I.C.E,H.S.I,Federal,E-mail,1,0,,,
,May,19,Lt. Zani,M.S.P,,State,E-mail and Phone,2,0,,,
51,May,19,Lt. Zani,M.S.P,,State,E-mail,1,0,,,
52,May,25,Evelyn Stendeil,D.M.V (CT),Inspector,Out of State - State,E-mail,1,1,,,
53,May,25,Dana Fiandaca,H.S.I,,Federal,E-mail,2,0,,,
54,May,24/25 ,Sandrine Ribeiro,Comm. Of Probation,,State,E-mail,1,1,,,
55,May,31,Tpr. Gene Lawrence,M.S.P,Milton,State,Phone,1,0,,,
56,June,2,John Fitzgerald,Boston PD,,Local,E-mail,1,0,,,
57,June,10,Michael Carbone,C.B.P,D.H.S - Boston Logan ,Federal,E-mail and Phone,2,1,,,
58,June,3,Don Johnson,Boston PD,,Local,E-mail,,,X,,
59,June,6,Kevin Innes,No agency identified,(Invest on Subject),Local,None,1,0,,,
60,June,6,James G Oileary,New Hampshire State Police,,Out of State - State,E-mail,1,1,,,
61,June,7,Charlie Daniels,Boston PD,,Local,Walk-in and Fax,,,X,,
62,June,7,SA Jason Ryan,Boston OCDETF,D.O.J,Local,None,1,0,,,
63,June,9,John Walsh,Woburn PD,,Local,Email,4,0,,,
64,June,9,Lt. Timothy McGibbon,Middlesex Sheriff's Office,,Local,Email,1,7,,,
65,June,10,Dana Fiandaca,H.S.I ,,Federal,Email,2,0,,,
66,June,14,Martin D. Harrison,Boston PD,,Local,Walk-in,,,X,,
67,June,14,Sgt. William Planeta,N.Y.P.D,,Out of State - Local,E-mail,3,0,,,
68,June,15,Michael O'Shaughnessy,D.E.A,Boston Strike Force,Federal,E-mail,5,3,,,He is a special agent
69,June,17,William Hassan,Boston PD,,Local,Fax,,,X,,
70,June,21,Sgt. Nolan,M.S.P,Enforcement,State,E-mail,1,0,,,
71,June,22,Lt. Charles Atchison,M.S.P,Middleborough,State,E-mail,4,0,,,
72,June,28,Tpr. Anthony Johnson,M.S.P,,State,Walk-in,2,0,,,
73,July,19,Ryan Gallagher,Enforcement Services,R.M.V,State,Walk-in,1,0,,,
74,July,21,Adam Lord,Waltham PD,,Local,E-mail,1,1,,,
75,July,25,Gi So,M.S.P,,State,Walk-in,1,0,,,
,July,27,Brian O'Neill,M.S.P,Essex,State,E-mail,,,x,,
76,July,27,Sullivan,Boston PD,,Local,Fax,,,X,,
77,July,1,Det. Don Johnson,Boston PD,,Local,Fax,,,x,,
