,Enforcement logs - 2017,,,,,,,,,,,
,Date,,Officer,Agency,,,Method of Request,Services Provided,,,,
Number,Month,Day,,,,,,FR,,Photo Array,Other,
,,,,Agency,Office/Location/Similar,Local-State-Federal,,# of Requests,# of Matches,,,Notes
1,January,3,Karen,MassDOT,,State,Empty,1,0,,,
2,January,3,Tpr. Hean,M.S.P,,State,E-mail,1,0,,,
3,January,5,Bernadette Sullivan,Boston PD,,Local,Walk-in,,,2,,
4,January,6,Karen,MassDOT,,State,(empty),8,0,,,
5,January,9,David J. Spirito,D.E.A,,Federal,E-mail,1,0,,,
6,January,9,Det. Donald Mahoney,Cambridge PD,,Local,E-mail,2,1,,,
7,January,9,Kyle Bishop,Woonsocket RI PD,,Out of State - Local,(empty),2,1,,,
8,January,9,Det. Jon Richard Gibson,Revere PD,,Local,E-mail,1,0,,,
9,January,10,Karen,MassDOT,,State,Walk-in,3,0,,,
10,January,11,Karen,MassDOT,,State,Walk-in,5,0,,,
11,January,12,Tpr. Michael Provost,M.S.P,,State,E-mail,2,0,,,
12,January,12,Jonathan Russel,Cambridge PD,,Local,E-mail,1,0,,,
13,January,12,Michael Ariely,Enforcement Services,,State,Walk-in,2,0,,,
14,January,12,Karen,MassDOT,,State,(empty),1,0,,,
15,January,13,Bernadette Sullivan,Boston PD,,Local,(empty),,,X,,
16,January,13,Karen,MassDOT,,State,Walk-in,3,0,,,
17,January,17,Joel Daoust,M.S.P,B35 Springfield,State,E-mail,3,0,,,
18,January,18,Matthew Murphy,Brockton PD,,Local,E-mail and phone,1,0,,,
19,January,18,Karen,MassDOT,,State,Walk-in,5,0,,,
20,January,18,Michael Ariely,Enforcement Services,,State,Walk-in,1,0,,,
21,January,23,Tpr. Michael J. Reynolds,M.S.P,,State,E-mail,3,0,,,
22,January,25,Paul Donnelly,Weymouth PD,,Local,(empty),2,0,,,
23,January,25,Walker Stepton,M.S.P,"""Moths""",State,Walk-in,1,0,,,
24,January,25,Det. Brian O'Connor,Cambridge PD,,Local,E-mail,4,0,,,
25,January,26,Det. Melody Nash,Boston PD,,Local,E-mail,,,X,,
26,January,26,Paul D'Amore,M.S.P,Tobacco Taskforce,State,E-mail,,,X,,
27,January,26,Tpr. Anthony Johnson,M.S.P,,State,E-mail,5,1,,,
28,January,29,Det. Jon Richard Gibson,Revere PD,,Local,E-mail,2,0,,,
29,January,30,Chris Dumont,M.S.P,,State,E-mail,2,0,,,
30,January,31,"Det. Brian ""Galleran""",Needham PD,,Local,E-mail,2,0,,,
31,January,31,Kyle Bishop,Woonsocket RI PD,,Out of State - Local,E-mail,2,1,,,
32,January,31,Michael Reynolds,M.S.P,Bristol,State,E-mail,1,0,,,
33,February,1,Tony Johnson,M.S.P,Enforcement Services,State,Walk-in,2,0,,,
34,February,4,David J. Spirito,D.E.A,D.O.J,Federal,(empty),1,0,,,
35,February,6,Det. Brian O'Connor,Cambridge PD,,Local,E-mail,2,0,,,
36,February,7,Sgt. Charles Kane,M.S.P,,State,E-mail,1,0,,,
37,February,7,Kyle Bishop,Woonsocket RI PD,,Out of State - Local,E-mail,1,1,,,
38,February,8,Joseph Dwining,M.S.P,,State,E-mail,1,0,,,
39,February,14,Lt. Daniel J. Wildgrube,M.S.P,,State,E-mail,2,0,,,
40,February,15,Lt. Martin Conley,M.S.P,,State,E-mail,1,0,,,
41,February,16,Kevin Williams,E.R.O,D.H.S / I.C.E.,Federal,E-mail,1,1,,,
42,February,22,Lt. Lavoie,M.S.P,,State,Walk-in,7,0,,,
43,February,23,Kyle Bishop,Woonsocket RI PD,,Out of State - Local,E-mail,1,0,,,
44,February,27,Det. Yu Kajita,Brookline PD,,Local,E-mail,7,0,,,
45,February,27,Det. John Richard Gibson,Revere PD,,Local,E-mail,1,0,,,
46,February,27,P.O Kyle Bishop,Woonsocket RI PD,,Out of State - Local,(empty),3,1,,,
47,February,28,Ryan Wood,Vermont State PD,,Out of State - State,E-mail,2,0,,,
48,March,1,Hollis Crowley,M.S.P,Bristol County,State,(empty),2,0,,,
49,March,1,Joseph B…,Sturbridge PD,,Local,E-mail,1,0,,,
50,March,3,Lt. Lavoie,M.S.P,,State,Walk-in,1,0,,,
51,March,3,Tpr. Stephen Walker,M.S.P,,State,(empty),2,0,,,
52,March,6,Michael O'Shaughnessy,D.E.A,,Federal,E-mail,1,2,,,
53,March,7,Rick Simmons,E.R.O,D.H.S / I.C.E.,Federal,E-mail,2,0,,,
54,March,7,Rosalba Medina,Chelsea PD,,Local,E-mail,1,0,,,
55,March,8,Patrolman Tyler Hopkins,Attleboro PD,,Local,E-mail,1,0,,,
56,March,9,Tpr. Mark E. Burke,M.S.P,,State,E-mail,1,0,,,
57,March,10,Det. James Morrissey,Boston PD,,Local,(empty),2,1,,,
58,March,10,Tpr. James D. DeAngelis,M.S.P,,State,E-mail,5,0,,,
59,March,10,Jason D. Sutherland,D.E.A,D.O.J,Federal,(empty),1,0,,,
60,March,16,Special Agent Dana Fiandaca,H.S.I,,Federal,E-mail,2,0,,,
61,March,21,Tpr. Michael Provost,M.S.P,,State,Fax,5,0,,,
62,March,22,Lavoie,M.S.P,,State,E-mail,1,0,,,
63,March,22,H.O Kevin Innes,MassDOT,,State,Walk-in,2,0,,,
64,March,22,Kevin Innes,Enforcement Services,R.M.V,State,(empty),1,0,,,
65,March,22,Lt. Martin Conley,M.S.P,Gang Unit,State,E-mail,2,0,,,
66,March,22,Daniel Wildgrube,M.S.P,Worcester County,State,E-mail,1,1,,,
67,March,23,Sixto Merced,Boston PD,,Local,(empty),1,0,,,
68,March,24,Detective Brian Cox,Marlborough PD,,Local,E-mail,2,0,,,
69,March,24,Mitchell,Boston PD,,Local,E-mail,,,X,,
70,March,27,Tpr. Joseph Deliegro,M.S.P,,State,Fax,1,0,,,
71,March,27,Joel Daoust,M.S.P,B-3,State,E-mail,1,1,,,
72,March,28,Johnson,M.S.P,,State,Walk-in,1,0,,,
73,March,28,Tpr. Johnson,H.S.I,,Federal,(empty),,,X,SA Fisher,
74,March,29,Lt. Lavoie,M.S.P,,State,Walk-in,1,1,,,
75,March,29,Tpr. Walker / Jason Bord,M.S.P /Lowell PD,,Combined Agencies,E-mail,2,1,,,
76,March,29,Kevin Innes,MassDOT,,State,Walk-in,3,1,,,
77,March,30,Charlie Daniels,Boston PD,,Local,Walk-in,,,X,,
78,March,31,Anthony Johnson for special agent Robert Fisher,M.S.P/H.S.I,,Combined Agencies,(empty),2,1,,,
79,April,3,H.O Kevin Innes,MassDOT,,State,Walk-in,1,0,,,
80,April,6,TPR Anthony Johnson for Cpt Steve Vrona,M.S.P,,State,E-mail,3,0,,,
81,April,7,Javier Reyes,Methuen PD,,Local,E-mail,,,Maybe,"""Inquiry""",
82,April,10,Paul Donnelly,Weymouth PD,,Local,E-mail,1,0,,,
83,April,10,John Santos,M.S.P,,State,E-mail,6,0,,,
84,April,11,Det. Richard Jordan,Boston PD,,Local,Fax,,,X,,
85,April,11,Det. Richard Jordan,Boston PD,,Local,Fax,,,X,,
86,April,19,Kyle Bishop,Woonsocket RI PD,,Out of State - Local,E-mail,1,0,,,
87,April,19,Lt. Alan C. Zani,M.S.P,,State,E-mail,2,0,,,
88,April,20,Susan Ragucci,H.S.I,,Federal,E-mail,3,0,,,
89,April,24,Tpr. Johnson,M.S.P,,State,E-mail,2,3,,,
90,April,24,Kyle Bishop,Woonsocket RI PD,,Out of State - Local,(empty),2,0,,,
91,April,26,Tpr. Walker,M.S.P,,State,E-mail,2,0,,,
92,April,28,Lt. Martin Conley,M.S.P,Gang Unit,State,E-mail,1,0,,,
93,May,1,Alan Zani,M.S.P,Crime Gun Unit,State,E-mail,1,0,,,
94,May,3,Paul Donnelly,D.E.A / Weymouth PD,,Combined Agencies,E-mail,2,0,,,
95,May,3,"Lavoie, Marc Lt",M.S.P,,State,Phone,1,0,,,
96,May,4,Sgt. Craig Garney,M.S.P,Division & Field Services,State,E-mail,1,0,,,
97,May,4,Lt. Marc Lavoie,M.S.P,,State,Walk-in,1,0,,,
98,May,4,Tpr. Keith Segee,M.S.P,,State,E-mail,2,1,,,
99,May,5,Det. Bernadette Sullivan,Boston PD,,Local,E-mail,,,X,,
100,May,5,Det. Bernadette Sullivan,Boston PD,,Local,E-mail,,,X,,
101,May,5,Det. Bernadette Sullivan,Boston PD,,Local,E-mail,,,X,,
102,May,8,Paul D. Donnelly,D.E.A,Task Force #2,Federal,E-mail,2,0,,,
103,May,11,Erin Dolan,I.C.E,Document and Benefit Taskforce,Federal,E-mail,3,0,,,
104,May,11,Patrick Flaherty,D.H.S ,Project for TPR Johnson,Federal,E-mail,18,2,,,
105,May,11,Lt. Martin Conley,M.S.P,,State,E-mail,5,0,,,
106,May,12,Kyle Bishop,Woonsocket RI PD,,Out of State - Local,E-mail,1,0,,,
107,May,16,Kyle Bishop,Woonsocket RI PD,,Out of State - Local,E-mail,3,1,,,
108,May,16,Paul Donnelly,D.O.J,,Federal,E-mail,,,,Inquiring on [redacted],For Tpr. Walker
109,May,16,Noah Pack,M.S.P,Springfield,State,(empty),,,,CORI image,
110,May,18,Lt. Lavoie,M.S.P,,State,Walk-in,1,0,,,
111,May,18,Kevin Williams,E.R.O,D.H.S / I.C.E.,Federal,E-mail,1,0,,,
112,May,25,Najla M. Minsal,D.O.J,"Miami, Fl",Out of State - Federal,E-mail and phone,1,0,,,
113,June,1,Robert Mc. Intire,Malden Police,,Local,E-mail,1,0,,,
114,June,2,Tim Da Silva,Sudbury PD,,Local,E-mail,1,0,,,
115,June,5,Deborah Rebeiro,M.S.P - ID Section,ID Section,State,E-mail,2,0,,,
116,June,(…),(…),Weymouth PD,,Local,E-mail,(…),0,,,
117,June,8,Deborah Rebeiro,M.S.P - ID Section,ID Section,State,E-mail,1,0,,,
118,June,8,Paul Donnelly,D.O.J,,Federal,E-mail,1,2,,,
119,June,8,Michael Ariely,Enforcement Services,Inmate Release Program,State,E-mail,2,0,,,
120,June,8,Michael Ariely,Enforcement Services,Inmate Release Program,State,E-mail,1,1,,,
121,June,9,Kevin Innes,Enforcement Services,R.M.V,State,Walk-in,2,0,,,
122,June,9,Paul Donnelly,Weymouth PD,,Local,E-mail,1,0,,,
123,June,12,Lt. Lavoie,M.S.P,,State,Walk-in,7,0,,,
